cut fraction,time to solution (s)
0.856,0.015621901
0.842666667,0
0.855333333,0.015614986
0.839333333,0.01562047
0.85,0.015625238
0.856,0
0.840666667,0
0.862666667,0.015613556
0.838666667,0.015625954
0.843333333,0
0.860666667,0
0.836666667,0
0.844,0
0.854666667,0
0.843333333,0.015618086
0.84,0.015625238
0.856,0
0.858666667,0
0.849333333,0.020552397
0.844,0.005985975
0.85,0.006979942
0.853333333,0.007978201
0.842666667,0.006987095
0.85,0.006977081
0.856666667,0.006983995
0.846666667,0.006978512
0.852666667,0.006979227
0.846666667,0.006979465
0.838666667,0.006985903
0.846666667,0.006984949
0.854,0.005983591
0.832,0.006981373
0.853333333,0.006982088
0.850666667,0
0.842666667,0.015666246
0.844,0.015625238
0.851333333,0
0.848666667,0
0.849333333,0
0.857333333,0.015625477
0.854666667,0.015621424
0.855333333,0
0.843333333,0
0.842,0
0.841333333,0.015624046
0.837333333,0.015628815
0.852666667,0
0.852666667,0.00326848
0.854,0.015668154
0.851333333,0
0.851333333,0
0.848666667,0
0.844666667,0.015626431
0.852666667,0.015620232
0.842666667,0.015618801
0.844666667,0
0.854666667,0
0.859333333,0.015628576
0.848666667,0.015610456
0.845333333,0
0.847333333,0
0.85,0.015622139
0.842666667,0.015621662
0.844,0
0.844,0.015614986
0.85,0.016704798
0.843333333,0
0.856666667,0.015617847
0.851333333,0.015622854
0.842,0
0.847333333,0
0.848,0.015617609
0.846666667,0.015620947
0.847333333,0
0.849333333,0
0.846,0
0.85,0.015633345
0.843333333,0
0.836666667,0
0.846,0
0.839333333,0.015603065
0.852,0.015620947
0.836,0.01562047
0.861333333,0
0.833333333,0
0.854666667,0
0.843333333,0
0.85,0
0.851333333,0
0.849333333,0
0.854,0
0.851333333,0.015619993
0.838,0.015622616
0.856666667,0
0.844,0
0.84,0.015621662
0.845333333,0.015620947
0.840666667,0
0.841333333,0
0.844,0
0.834,0
0.848,0
0.852,0.019306421
0.846666667,0
0.852666667,0
0.853333333,0.015625954
0.853333333,0.015621185
0.86,0
0.844666667,0
0.846,0
0.856,0.015618324
0.830666667,0
0.850666667,0
0.848,0.015620947
0.842666667,0.015620947
0.848,0
0.848666667,0
0.848666667,0
0.846666667,0.016684532
0.846666667,0
0.844,0
0.856666667,0.015621662
0.842666667,0.015629768
0.844,0
0.849333333,0
0.856666667,0
0.848,0
0.855333333,0.01562047
0.85,0
0.860666667,0
0.839333333,0
0.841333333,0.015624523
0.847333333,0
0.848,0
0.843333333,0
0.844,0.015616417
0.840666667,0.015627861
0.85,0
0.844666667,0
0.843333333,0.015621662
0.842,0.015626192
0.853333333,0.015619755
0.856666667,0.015618324
0.845333333,0.015621185
0.842,0
0.846666667,0
0.848666667,0
0.851333333,0.015626907
0.858666667,0.016643286
0.841333333,0.015665531
0.84,0
0.848,0.015627384
0.851333333,0
0.849333333,0
0.85,0
0.848,0
0.856666667,0.015617609
0.846,0.015620947
0.848,0.015618563
0.854,0.015624046
0.85,0
0.847333333,0
0.856666667,0.015624762
0.853333333,0
0.841333333,0.015619755
0.854,0
0.86,0
0.85,0
0.850666667,0
0.844666667,0.015604496
0.855333333,0.015625477
0.846,0
0.848,0
0.852666667,0
0.842666667,0.015662193
0.836666667,0.015627146
0.842666667,0
0.864666667,0.015620708
0.857333333,0
0.844666667,0
0.864,0.015625
0.85,0.015617132
0.86,0.015625238
0.852,0
0.848666667,0
0.853333333,0
0.841333333,0.015622139
0.855333333,0.015621185
0.844,0.015600443
0.842666667,0
0.853333333,0
0.855333333,0
0.840666667,0
0.840666667,0.01560998
0.851333333,0.015621901
0.844,0
0.852666667,0
0.856,0
0.853333333,0.015624523
0.844,0
0.844,0
0.86,0.015622377
0.848,0.015615702
0.852666667,0
0.86,0
0.842666667,0
0.848,0.020368338
0.850666667,0.015674114
0.85,0
0.846,0
0.842666667,0.015625477
0.848666667,0.015621185
0.85,0
0.840666667,0
0.846,0
0.834666667,0.015620947
0.840666667,0.015621662
0.856,0
0.838666667,0
0.860666667,0
0.843333333,0
0.852,0
0.840666667,0
0.856666667,0.015619993
0.848666667,0
0.836666667,0
0.842666667,0
0.848666667,0.015621901
0.839333333,0.015625477
0.838666667,0
0.850666667,0
0.86,0
0.839333333,0.015629292
0.846666667,0
0.844666667,0
0.846666667,0
0.857333333,0.01564455
0.838666667,0.015642881
0.859333333,0.01562047
0.848666667,0
0.838,0
0.851333333,0
0.845333333,0.015623808
0.85,0
0.854666667,0.015615225
0.843333333,0
0.843333333,0.015618801
0.851333333,0.015625477
0.848,0
0.852,0
0.854,0
0.854666667,0.015620708
0.842,0.015624046
0.846,0.015622854
0.844666667,0.015626192
0.848,0
0.853333333,0.015621185
0.842,0.015622139
0.846,0.015624285
0.84,0.015621901
0.848,0
0.842,0
0.852,0.015617132
0.855333333,0.015620708
0.84,0
0.850666667,0.015624523
0.843333333,0
